title,genres,tags
The Witcher 3,RPG,story rich open world fantasy single player narrative choices action rpg
Skyrim,RPG,open world fantasy single player exploration sandbox action rpg
Elden Ring,RPG,soulslike difficult dark fantasy open world single player action rpg exploration
FIFA 24,Sports,sports football multiplayer competitive simulation
Call of Duty,Shooter,shooter multiplayer fps competitive fast paced
Read Dead Redemption 2,Action,open world story rich single player western immersive exploration
Cyberpunk 2077,RPG,open world futuristic sci fi story rich single player action rpg
Dark Souls III,RPG,soulslike difficult dark fantasy single player action rpg challenging boss fights
God of War,Action,story rich single player mythology action combat narrative
Assassin's Creed Valhalla,Action RPG,open world historical single player action rpg exploration
Horizon Zero Dawn,Action RPG,open world sci fi single player action rpg exploration story
NBA 2K24,Sports,sports basketball multiplayer competitive simulation
Madden NFL 24,Sports,sports american football multiplayer competitive simulation
Battlefield 2042,Shooter,shooter multiplayer fps large scale competitive
Overwatch 2,Shooter,multiplayer team based fps competitive
